SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT_x,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS_x,VIDEO_AVAILABLE,PLAYER_NAME,PLAYER_ID,HOME,B2B,GP,PTS_AVG,REB_AVG,AST_AVG,PRA_AVG,MIN_AVG,FG_PCT_y,PLUS_MINUS_y,PTS_TREND,HOT,COLD
22023,1630639,22301083,2024-03-31,DAL @ HOU,W,2,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,1,1,A.J. Lawson,1630639,0,0,7,2.2857142857142856,2.142857142857143,0.8571428571428571,5.285714285714286,8.571428571428571,0.1502857142857143,-2.0,0.0,False,False
22023,1630639,22301124,2024-04-04,DAL vs. ATL,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,2,1,A.J. Lawson,1630639,1,0,7,2.2857142857142856,2.142857142857143,0.8571428571428571,5.285714285714286,8.571428571428571,0.1502857142857143,-2.0,0.0,False,False
22023,1630639,22301097,2024-04-05,DAL vs. GSW,W,5,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,-1,1,A.J. Lawson,1630639,1,1,7,2.2857142857142856,2.142857142857143,0.8571428571428571,5.285714285714286,8.571428571428571,0.1502857142857143,-2.0,0.0,False,False
22023,1630639,22301144,2024-04-09,DAL @ CHA,W,4,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,2,2,1,A.J. Lawson,1630639,0,0,7,2.2857142857142856,2.142857142857143,0.8571428571428571,5.285714285714286,8.571428571428571,0.1502857142857143,-2.0,0.0,False,False
22023,1630639,22301161,2024-04-10,DAL @ MIA,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,1,0,0,0,0,0,4,1,A.J. Lawson,1630639,0,1,7,2.2857142857142856,2.142857142857143,0.8571428571428571,5.285714285714286,8.571428571428571,0.1502857142857143,-2.0,0.0,False,False
22023,1630639,22301181,2024-04-12,DAL vs. DET,L,22,1,6,0.167,0,2,0.0,0,0,0.0,1,5,6,2,0,0,2,0,2,-4,1,A.J. Lawson,1630639,1,0,7,2.2857142857142856,2.142857142857143,0.8571428571428571,5.285714285714286,8.571428571428571,0.1502857142857143,-2.0,0.0,False,False
22023,1630639,22301196,2024-04-14,DAL @ OKC,L,24,5,13,0.385,0,5,0.0,2,2,1.0,1,4,5,2,0,0,1,1,12,-18,1,A.J. Lawson,1630639,0,0,7,2.2857142857142856,2.142857142857143,0.8571428571428571,5.285714285714286,8.571428571428571,0.1502857142857143,-2.0,0.0,False,False
22023,1631260,22301076,2024-03-30,MIL @ ATL,W,11,1,3,0.333,0,2,0.0,0,0,0.0,0,0,0,0,0,1,0,1,2,1,1,AJ Green,1631260,0,0,7,4.714285714285714,1.1428571428571428,0.4285714285714285,6.285714285714286,16.714285714285715,0.3802857142857143,2.857142857142857,-0.6666666666666666,False,False
22023,1631260,22301095,2024-04-02,MIL @ WAS,L,14,2,4,0.5,2,4,0.5,0,0,0.0,0,0,0,1,0,0,1,1,6,3,1,AJ Green,1631260,0,0,7,4.714285714285714,1.1428571428571428,0.4285714285714285,6.285714285714286,16.714285714285715,0.3802857142857143,2.857142857142857,-0.6666666666666666,False,False
22023,1631260,22301107,2024-04-03,MIL vs. MEM,L,21,3,7,0.429,3,6,0.5,0,1,0.0,1,3,4,2,1,1,1,0,9,-7,1,AJ Green,1631260,1,1,7,4.714285714285714,1.1428571428571428,0.4285714285714285,6.285714285714286,16.714285714285715,0.3802857142857143,2.857142857142857,-0.6666666666666666,False,False
22023,1631260,22301122,2024-04-05,MIL vs. TOR,L,23,2,5,0.4,2,5,0.4,0,0,0.0,0,3,3,0,0,0,1,2,6,2,1,AJ Green,1631260,1,0,7,4.714285714285714,1.1428571428571428,0.4285714285714285,6.285714285714286,16.714285714285715,0.3802857142857143,2.857142857142857,-0.6666666666666666,False,False
22023,1631260,22301139,2024-04-07,MIL vs. NYK,L,13,1,3,0.333,0,2,0.0,0,0,0.0,0,0,0,0,1,0,0,1,2,1,1,AJ Green,1631260,1,0,7,4.714285714285714,1.1428571428571428,0.4285714285714285,6.285714285714286,16.714285714285715,0.3802857142857143,2.857142857142857,-0.6666666666666666,False,False
22023,1631260,22301148,2024-04-09,MIL vs. BOS,W,19,2,3,0.667,2,3,0.667,0,0,0.0,0,1,1,0,0,0,0,0,6,6,1,AJ Green,1631260,1,0,7,4.714285714285714,1.1428571428571428,0.4285714285714285,6.285714285714286,16.714285714285715,0.3802857142857143,2.857142857142857,-0.6666666666666666,False,False
22023,1631260,22301162,2024-04-10,MIL vs. ORL,W,16,0,3,0.0,0,2,0.0,2,2,1.0,0,0,0,0,1,0,1,1,2,14,1,AJ Green,1631260,1,1,7,4.714285714285714,1.1428571428571428,0.4285714285714285,6.285714285714286,16.714285714285715,0.3802857142857143,2.857142857142857,-0.6666666666666666,False,False
22023,203932,22301071,2024-03-29,DEN vs. MIN,L,31,5,9,0.556,2,4,0.5,2,4,0.5,1,6,7,4,0,0,4,4,14,-5,1,Aaron Gordon,203932,1,0,7,13.714285714285714,6.0,5.428571428571429,25.142857142857142,30.285714285714285,0.5982857142857144,8.571428571428571,-2.5,False,True
22023,203932,22301077,2024-03-31,DEN vs. CLE,W,29,3,7,0.429,1,3,0.333,1,2,0.5,3,5,8,5,1,0,2,3,8,18,1,Aaron Gordon,203932,1,0,7,13.714285714285714,6.0,5.428571428571429,25.142857142857142,30.285714285714285,0.5982857142857144,8.571428571428571,-2.5,False,True
22023,203932,22301099,2024-04-02,DEN vs. SAS,W,33,9,12,0.75,2,4,0.5,3,3,1.0,2,5,7,4,1,1,0,3,23,11,1,Aaron Gordon,203932,1,0,7,13.714285714285714,6.0,5.428571428571429,25.142857142857142,30.285714285714285,0.5982857142857144,8.571428571428571,-2.5,False,True
22023,203932,22301114,2024-04-04,DEN @ LAC,L,36,5,10,0.5,0,2,0.0,8,14,0.571,2,4,6,7,1,2,1,4,18,1,1,Aaron Gordon,203932,0,0,7,13.714285714285714,6.0,5.428571428571429,25.142857142857142,30.285714285714285,0.5982857142857144,8.571428571428571,-2.5,False,True
22023,203932,22301164,2024-04-10,DEN vs. MIN,W,28,2,7,0.286,0,2,0.0,1,2,0.5,1,4,5,9,1,0,2,0,5,9,1,Aaron Gordon,203932,1,0,7,13.714285714285714,6.0,5.428571428571429,25.142857142857142,30.285714285714285,0.5982857142857144,8.571428571428571,-2.5,False,True
22023,203932,22301180,2024-04-12,DEN @ SAS,L,29,6,6,1.0,1,1,1.0,0,0,0.0,2,2,4,4,1,0,0,1,13,1,1,Aaron Gordon,203932,0,0,7,13.714285714285714,6.0,5.428571428571429,25.142857142857142,30.285714285714285,0.5982857142857144,8.571428571428571,-2.5,False,True
22023,203932,22301193,2024-04-14,DEN @ MEM,W,26,4,6,0.667,0,1,0.0,7,8,0.875,3,2,5,5,0,1,1,2,15,25,1,Aaron Gordon,203932,0,0,7,13.714285714285714,6.0,5.428571428571429,25.142857142857142,30.285714285714285,0.5982857142857144,8.571428571428571,-2.5,False,True
22023,1628988,22301098,2024-04-02,HOU @ MIN,L,6,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,2,1,0,0,2,0,-3,1,Aaron Holiday,1628988,0,0,7,6.0,0.8571428571428571,1.2857142857142858,8.142857142857142,14.428571428571429,0.348,0.0,1.5,False,False
22023,1628988,22301113,2024-04-04,HOU vs. GSW,L,18,2,4,0.5,2,4,0.5,0,0,0.0,0,0,0,1,0,0,0,2,6,-11,1,Aaron Holiday,1628988,1,0,7,6.0,0.8571428571428571,1.2857142857142858,8.142857142857142,14.428571428571429,0.348,0.0,1.5,False,False
